route_id,airline,origin_iata,destination_iata,origin_airport,destination_airport,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,region,distance_km,route_type,summer_2026_status,route_scope,data_note
QR-DOH-NRT,Qatar Airways,DOH,NRT,Hamad International Airport,Narita International Airport,Doha,Narita,QA,JP,25.273056,51.608056,35.76858,140.388714,Asia-Pacific,8298,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ORD,Qatar Airways,DOH,ORD,Hamad International Airport,Chicago O'Hare International Airport,Doha,Chicago,QA,US,25.273056,51.608056,41.9786,-87.9048,Americas,11458,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-OSL,Qatar Airways,DOH,OSL,Hamad International Airport,Oslo-Gardermoen International Airport,Doha,Oslo (Gardermoen),QA,NO,25.273056,51.608056,60.193901,11.1004,Europe,4958,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-OTP,Qatar Airways,DOH,OTP,Hamad International Airport,Bucharest Henri Coandă International Airport,Doha,Otopeni,QA,RO,25.273056,51.608056,44.571792,26.103285,Europe,3139,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PEN,Qatar Airways,DOH,PEN,Hamad International Airport,Penang International Airport,Doha,Penang,QA,MY,25.273056,51.608056,5.296303,100.276185,Asia-Pacific,5632,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PER,Qatar Airways,DOH,PER,Hamad International Airport,Perth International Airport,Doha,Perth,QA,AU,25.273056,51.608056,-31.94029998779297,115.96700286865234,Asia-Pacific,9330,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PEW,Qatar Airways,DOH,PEW,Hamad International Airport,Bacha Khan International Airport,Doha,Peshawar,QA,PK,25.273056,51.608056,33.9939,71.514603,Asia-Pacific,2149,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PHL,Qatar Airways,DOH,PHL,Hamad International Airport,Philadelphia International Airport,Doha,Philadelphia,QA,US,25.273056,51.608056,39.871899,-75.241096,Americas,10919,Long-haul,Returning / announced (2026-08-01),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PKX,Qatar Airways,DOH,PKX,Hamad International Airport,Beijing Daxing International Airport,Doha,Beijing,QA,CN,25.273056,51.608056,39.501289,116.413967,Asia-Pacific,6154,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-PRG,Qatar Airways,DOH,PRG,Hamad International Airport,Václav Havel Airport Prague,Doha,Prague,QA,CZ,25.273056,51.608056,50.100874,14.259911,Europe,4219,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
